date,point_forecast,q10,q20,q30,q40,q50,q60,q70,q80,q90,q99
2025-01-01,1.2223773,1.2215941,1.1350746,1.1696022,1.1900496,1.2082561,1.2223773,1.2373345,1.2566835,1.2745694,1.3157047
2025-02-01,1.2563584,1.2502016,1.1576772,1.192028,1.2160256,1.2387614,1.2563584,1.2746146,1.2962431,1.3203343,1.3584049
2025-03-01,1.2864769,1.2816916,1.1729846,1.2153132,1.2431561,1.2653987,1.2864769,1.306499,1.3280319,1.3557935,1.4015651
2025-04-01,1.240488,1.2406753,1.1257412,1.1681694,1.1970444,1.2215759,1.240488,1.2639594,1.286236,1.3158021,1.3650858
2025-05-01,1.2026377,1.1969142,1.0786266,1.1273429,1.15629,1.17848,1.2026377,1.2264426,1.2497814,1.2794464,1.3326409
2025-06-01,1.2100198,1.1963896,1.0834217,1.1324459,1.1634672,1.1885493,1.2100198,1.2331923,1.2577171,1.2899761,1.3403053
2025-07-01,1.2253108,1.2151251,1.0924454,1.1443555,1.1734047,1.2022542,1.2253108,1.2481211,1.2747812,1.3076019,1.3627248
2025-08-01,1.2421811,1.2292914,1.1073081,1.1572006,1.192126,1.2166997,1.2421811,1.267134,1.292903,1.3258643,1.3798969
2025-09-01,1.2697351,1.2603164,1.1255404,1.182023,1.2180004,1.2435384,1.2697351,1.2964022,1.3215922,1.3572859,1.4147154
2025-10-01,1.2496668,1.2436218,1.0963821,1.1606307,1.1933835,1.2222381,1.2496668,1.2745532,1.302876,1.3378685,1.3995588
2025-11-01,1.2135265,1.2031629,1.05291,1.1199918,1.1550014,1.1838167,1.2135265,1.2410308,1.2673688,1.3072729,1.370284
2025-12-01,1.203414,1.1867242,1.0321147,1.1046634,1.1439086,1.174484,1.203414,1.2304599,1.2610959,1.3018979,1.3658974
