station,n_rows,n_valid_flow,valid_ratio,date_min,date_max,span_days,density_per_day,median_gap_days,p90_gap_days,max_gap_days,flow_min,flow_max,flow_median,flow_std,n_negative,n_zero
万合永,1636,1004,0.6137,2014-05-21,2024-06-28,3692,0.2719,1.0,3.0,225.0,0.0,13.0,0.0,1.2443,0,505
三家子,604,604,1.0,2014-06-03,2020-06-01,2191,0.2757,1.0,2.0,244.0,0.42,9.38,1.19,1.0212,0,0
三岔河,1590,518,0.3258,2014-01-01,2024-06-28,3832,0.1352,0.75,10.0,1547.25,0.0,0.0,0.0,0.0,0,518
下岱吉,4213,4021,0.9544,2014-01-07,2024-06-28,3826,1.051,1.0,1.0,134.0,0.0,8610.0,1080.0,1450.3425,0,33
东丰,1504,1287,0.8557,2014-01-21,2024-06-28,3812,0.3376,1.0,10.0,141.0,0.0,292.0,1.0,17.9375,0,308
东明,1893,1778,0.9392,2014-01-11,2024-06-28,3822,0.4652,1.0,8.0,141.0,0.0,2010.0,40.95,149.4335,0,42
东村,2618,2077,0.7934,2014-01-21,2024-06-28,3812,0.5449,0.75,5.0,151.0,0.0,3110.0,50.0,162.5125,0,83
东白城子,1872,1666,0.89,2014-01-01,2024-06-28,3832,0.4348,1.0,3.55,269.0,0.0,1410.0,1.085,46.4244,0,74
东陵,773,761,0.9845,2014-06-03,2020-06-01,2191,0.3473,1.0,10.0,182.0,0.0,43.0,0.111,2.0096,0,2
义县,2035,1998,0.9818,2014-01-01,2024-06-28,3832,0.5214,1.0,3.0,141.0,0.0,310.0,10.0,30.6768,0,4
乌丹(四),1859,870,0.468,2014-06-06,2024-06-28,3676,0.2367,1.0,2.0,409.0,0.0,39.2,0.0,2.2821,0,813
九连洞,926,926,1.0,2014-01-01,2024-06-28,3832,0.2416,1.0,10.0,1138.25,0.03,180.0,1.0,8.4391,0,0
二道河子,909,908,0.9989,2014-01-01,2024-06-28,3832,0.237,1.0,10.0,1138.25,0.318,53.0,2.0,5.3719,0,0
二道白河,1822,1213,0.6658,2016-06-01,2024-06-28,2950,0.4112,0.75,1.0,263.0,0.0,45.5,4.0,3.0317,0,79
五道沟,2552,2111,0.8272,2014-01-21,2024-06-28,3812,0.5538,0.75,5.0,141.0,0.0,3040.0,57.0,216.7011,0,81
他拉干（五）,1280,613,0.4789,2014-06-21,2024-06-28,3661,0.1674,1.0,1.0,875.0,0.0,11.6,0.0,2.4993,0,458
八棵树,2137,2110,0.9874,2014-01-01,2024-06-28,3832,0.5506,1.0,3.0,141.0,0.0,665.0,3.58,36.0331,0,26
八道江,3082,2415,0.7836,2014-01-21,2024-06-28,3812,0.6335,0.75,3.0,141.0,0.0,1300.0,12.8,45.8074,0,87
公主屯,1019,873,0.8567,2014-01-01,2024-06-28,3832,0.2278,1.0,10.0,757.0,0.0,410.0,3.0,36.9386,0,188
