station,n_points,n_segments,max_segment_len,median_segment_len,threshold_days
万合永,1004,114,108,3,2.0
三家子,604,43,76,6,2.0
三岔河,518,87,136,1,1.5
下岱吉,4021,106,557,9,2.0
东丰,1287,311,170,1,2.0
东明,1778,299,260,1,2.0
东村,2077,398,256,1,1.5
东白城子,1666,188,256,1,2.0
东陵,761,128,124,1,2.0
义县,1998,214,257,1,2.0
乌丹(四),870,79,138,2,2.0
九连洞,926,205,128,1,2.0
二道河子,908,201,128,1,2.0
二道白河,1213,79,309,1,1.5
五道沟,2111,418,303,1,1.5
他拉干（五）,613,32,124,3,2.0
八棵树,2110,220,249,1,2.0
八道江,2415,403,351,1,1.5
公主屯,873,190,148,1,2.0
公主岭,1360,235,184,1,1.5
六间房,2201,214,261,1,2.0
关家屯,925,203,116,1,2.0
兴隆坡,2103,124,175,5,2.0
农安,1929,307,330,1,2.0
冰峪沟,1084,221,199,1,2.0
凌海,2041,226,256,1,2.0
前家把(自),18,1,18,18,1.5
北口前,182,23,43,1,2.0
十屋,1345,136,183,2,1.5
南甸,2109,217,257,1,2.0
南章党,736,178,76,1,2.0
占贝,1512,150,128,1,2.0
口前,2055,351,299,1,1.5
叶柏寿,345,86,68,1,2.0
司屯,661,178,80,1,2.0
吉林,3173,350,352,2,1.5
哈巴气,923,202,88,1,2.0
哈拉道口,593,50,108,2,2.0
唐马寨,3506,89,762,11,2.0
复兴堡,1552,188,256,1,2.0
大河泡,1187,170,128,1,2.0
大甸子,1811,446,325,1,1.5
大石寨,2573,107,391,8,2.0
大蒲柴河,1789,408,317,1,1.5
大赉,3837,107,522,11,2.0
天桥岭,1418,163,308,2,1.5
孤山子,379,88,39,2,2.0
宝力镇,1517,179,251,1,2.0
察尔森,1985,45,270,19,2.0
察尔森坝下,1410,83,132,10,2.0
小林子,2149,220,257,1,2.0
小荒地,1030,165,262,1,2.0
平安堡,2136,218,262,1,2.0
庆云堡,550,45,67,6,2.0
开原,2131,218,247,1,2.0
彰武,1931,209,257,1,2.0
德惠,1914,313,315,1,2.0
扶余,3792,103,386,12,2.0
抚顺,2128,218,256,1,2.0
文家街,1028,49,212,6,2.0
新井,575,49,106,1,2.0
新农,835,92,243,1,1.5
新民,378,67,41,2,2.0
望宝山,1466,262,196,1,2.0
朝阳,3250,104,377,9,2.0
本溪,2132,217,256,1,2.0
杜尔基,2061,121,274,5,2.0
松树,1213,172,130,1,2.0
松江,1846,321,292,1,2.0
松花江,1723,307,205,1,2.0
柳河,11,1,11,11,1.5
柴河,2108,222,246,1,2.0
样子哨,1881,317,235,1,2.0
桥头,1832,270,285,1,2.0
梅河口,263,58,62,1,2.0
梨庇峪,596,47,75,6,2.0
梨树,2231,343,267,1,1.5
梨树沟,292,28,38,6,2.0
梨树镇,1837,128,139,3,2.0
榆树,1861,265,375,1,2.0
榆树川,1832,301,294,1,2.0
横道子,2153,356,303,1,1.5
民立,2072,373,279,1,1.5
汉阳屯,2084,306,342,1,2.0
沈阳,3519,86,771,13,2.0
沙里寨,1506,274,197,1,2.0
沙里涂,780,178,76,1,2.0
沟门子(四),597,54,108,2,2.0
洮南,1778,213,184,1,1.5
海城,432,82,69,1,2.0
漫江,2485,408,278,1,1.5
熊岳,1302,249,173,1,2.0
牛头山,672,10,460,2,2.0
王回窝堡,15,1,15,15,20.0
王奔,3780,118,532,9,2.0
王宝庆,1636,170,247,1,2.0
珠尔山,199,7,64,28,2.0
白云胡硕,1905,118,354,4,2.0
白庙子,587,41,76,6,2.0
石门子,708,159,110,1,2.0
磨盘山,1540,133,281,3,1.5
福德店,2152,218,247,1,2.0
红旗堡,201,17,58,2,2.0
耿王庄,1122,143,93,1,2.0
胡家,193,25,69,1,2.0
腰屯,170,7,64,16,2.0
茧场,1521,272,197,1,2.0
蔡家沟,3708,109,441,10,2.0
蛟河,2038,412,303,1,1.5
赤峰(五),835,69,108,3,2.0
辽中,2470,183,771,1,2.0
辽阳,2079,226,181,1,2.0
通江口,2174,217,248,1,2.0
通辽(五),465,34,124,1,2.0
邢家窝棚,2279,203,256,1,2.0
郑家屯,2034,89,254,6,1.5
郝家店,728,179,76,1,2.0
长岭,2066,293,253,1,2.0
阜新,1107,228,148,1,2.0
靖宇,2274,404,278,1,1.5
韩家杖子,1026,203,171,1,2.0
马虎山,2148,218,261,1,2.0
高丽城子,2391,398,332,1,1.5
黄腊坨,2157,219,257,1,2.0
龙山,3180,202,227,2,2.0
