date,obs_cfs,pred_cfs
1980-12-31,1080.0,1065.043
1981-01-01,1100.0,1089.238
1981-01-02,1100.0,1139.2568
1981-01-03,1060.0,1117.6338
1981-01-04,1010.0,1047.6112
1981-01-05,960.0,1006.88477
1981-01-06,890.0,946.37317
1981-01-07,850.0,849.87744
1981-01-08,800.0,833.02625
1981-01-09,770.0,748.20715
1981-01-10,740.0,756.6963
1981-01-11,690.0,731.5399
1981-01-12,660.0,660.7529
1981-01-13,630.0,654.33093
1981-01-14,610.0,620.02295
1981-01-15,590.0,630.8943
1981-01-16,580.0,572.0309
1981-01-17,570.0,580.85547
1981-01-18,555.0,573.2965
1981-01-19,540.0,570.15125
1981-01-20,530.0,560.3601
1981-01-21,515.0,515.55237
1981-01-22,500.0,502.60986
1981-01-23,490.0,499.4431
1981-01-24,485.0,513.64185
1981-01-25,480.0,482.4569
1981-01-26,480.0,470.1892
1981-01-27,480.0,478.62012
1981-01-28,475.0,517.0491
1981-01-29,465.0,508.57922
1981-01-30,460.0,483.4192
1981-01-31,450.0,479.79517
1981-02-01,450.0,448.20532
1981-02-02,520.0,449.95557
1981-02-03,1100.0,585.7634
1981-02-04,2800.0,1608.0364
1981-02-05,3600.0,4165.8613
1981-02-06,3800.0,3670.6575
1981-02-07,3500.0,3699.1055
1981-02-08,2850.0,3117.2786
1981-02-09,2350.0,2135.7874
1981-02-10,2050.0,1904.3953
1981-02-11,2150.0,1788.1226
1981-02-12,2450.0,2190.1477
1981-02-13,3000.0,2562.857
1981-02-14,4300.0,3407.1826
1981-02-15,6200.0,5746.343
1981-02-16,7000.0,7573.5
1981-02-17,6500.0,7026.7217
1981-02-18,5000.0,5927.1367
1981-02-19,4050.0,3700.4316
1981-02-20,4200.0,3592.8982
1981-02-21,4650.0,4483.645
1981-02-22,5700.0,4855.3877
1981-02-23,6900.0,6423.437
1981-02-24,8500.0,7383.9443
1981-02-25,10000.0,9131.309
1981-02-26,9600.0,10390.06
1981-02-27,7900.0,8491.309
1981-02-28,6400.0,6070.921
